,response1,subjectID,age,gender,numberofsiblings,gamestrategy
20,"{
  ""subjectID"": ""P123456"",
  ""age"": 27,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""charityName"": ""World Food Program"",
      ""amountDonated"": 50,
      ""frequency"": ""Annually""
    },
    {
      ""charityName"": ""Doctors Without Borders"",
      ""amountDonated"": 30,
      ""frequency"": ""Annually""
    }
  ],
  ""strategy"": [
    {
      ""gameName"": ""Ultimatum Game"",
      ""role"": ""A"",
      ""decision"": ""Offer 50% of the amount""
    },
    {
      ""gameName"": ""Prisoner's Dilemma"",
      ""role"": ""B"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameName"": ""Trust Game"",
      ""role"": ""A"",
      ""decision"": ""Send 70% of the amount""
    },
    {
      ""gameName"": ""Dictator Game"",
      ""role"": ""A"",
      ""decision"": ""Give 30% of the amount""
    },
    {
      ""gameName"": ""Public Goods Game"",
      ""role"": ""B"",
      ""decision"": ""Contribute 40% of the tokens""
    },
    {
      ""gameName"": ""Battle of the Sexes"",
      ""role"": ""A"",
      ""decision"": ""Choose mutual benefit option""
    },
    {
      ""gameName"": ""Stag Hunt"",
      ""role"": ""B"",
      ""decision"": ""Choose cooperative strategy""
    }
  ]
}",P123456,27,Female,2,"[{'gameName': 'Ultimatum Game', 'role': 'A', 'decision': 'Offer 50% of the amount'}, {'gameName': ""Prisoner's Dilemma"", 'role': 'B', 'decision': 'Cooperate'}, {'gameName': 'Trust Game', 'role': 'A', 'decision': 'Send 70% of the amount'}, {'gameName': 'Dictator Game', 'role': 'A', 'decision': 'Give 30% of the amount'}, {'gameName': 'Public Goods Game', 'role': 'B', 'decision': 'Contribute 40% of the tokens'}, {'gameName': 'Battle of the Sexes', 'role': 'A', 'decision': 'Choose mutual benefit option'}, {'gameName': 'Stag Hunt', 'role': 'B', 'decision': 'Choose cooperative strategy'}]"
21,"{
  ""subjectID"": ""a9f8b432d1"",
  ""age"": 27,
  ""gender"": ""Male"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""totalDonated"": 350,
    ""charities"": [
      ""Red Cross"",
      ""World Wildlife Fund"",
      ""Doctors Without Borders""
    ],
    ""mostRecentDonationDate"": ""2023-03-15""
  },
  ""strategy"": {
    ""game1"": {
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    ""game2"": {
      ""role"": ""B"",
      ""decision"": ""reciprocate""
    },
    ""game3"": {
      ""role"": ""A"",
      ""decision"": ""split 50/50""
    },
    ""game4"": {
      ""role"": ""B"",
      ""decision"": ""accept""
    },
    ""game5"": {
      ""role"": ""A"",
      ""decision"": ""compete""
    },
    ""game6"": {
      ""role"": ""B"",
      ""decision"": ""offer 60/40 split""
    },
    ""game7"": {
      ""role"": ""A"",
      ""decision"": ""maximize joint payoff""
    }
  }
}",a9f8b432d1,27,Male,2,"{'game1': {'role': 'A', 'decision': 'cooperate'}, 'game2': {'role': 'B', 'decision': 'reciprocate'}, 'game3': {'role': 'A', 'decision': 'split 50/50'}, 'game4': {'role': 'B', 'decision': 'accept'}, 'game5': {'role': 'A', 'decision': 'compete'}, 'game6': {'role': 'B', 'decision': 'offer 60/40 split'}, 'game7': {'role': 'A', 'decision': 'maximize joint payoff'}}"
22,"{
  ""subjectID"": ""P123456"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""charity"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2021-06-15""
    },
    {
      ""charity"": ""UNICEF"",
      ""amount"": 30,
      ""date"": ""2022-01-22""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Match""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Match""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""Match""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Defect""
    }
  ]
}",P123456,28,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': 'Match'}, {'game': 3, 'role': 'A', 'decision': 'Defect'}, {'game': 4, 'role': 'B', 'decision': 'Match'}, {'game': 5, 'role': 'A', 'decision': 'Cooperate'}, {'game': 6, 'role': 'B', 'decision': 'Match'}, {'game': 7, 'role': 'A', 'decision': 'Defect'}]"
23,"{
  ""subjectID"": ""XA0925Y"",
  ""age"": 28,
  ""gender"": ""non-binary"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-12-15""
    },
    {
      ""organization"": ""Wildlife Conservation Society"",
      ""amount"": 20,
      ""date"": ""2023-03-10""
    }
  ],
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate"",
      ""rationale"": ""Long-term benefit for both participants.""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""match A's choice"",
      ""rationale"": ""Ensures reciprocation and trust-building.""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""split evenly"",
      ""rationale"": ""Fairness and equity.""
    }
  ]
}",XA0925Y,28,non-binary,2,"[{'gameID': 1, 'role': 'A', 'decision': 'cooperate', 'rationale': 'Long-term benefit for both participants.'}, {'gameID': 2, 'role': 'B', 'decision': ""match A's choice"", 'rationale': 'Ensures reciprocation and trust-building.'}, {'gameID': 3, 'role': 'A', 'decision': 'split evenly', 'rationale': 'Fairness and equity.'}]"
24,"{
   ""subjectID"": ""S123456"",
   ""age"": 28,
   ""gender"": ""Female"",
   ""numberSiblings"": 2,
   ""donation"": [
      {
         ""organization"": ""Red Cross"",
         ""amount"": 50,
         ""frequency"": ""Annually""
      },
      {
         ""organization"": ""Local Animal Shelter"",
         ""amount"": 30,
         ""frequency"": ""Semi-Annually""
      }
   ],
   ""strategy"": [
      {
         ""game"": 1,
         ""role"": ""A"",
         ""decision"": ""Cooperate""
      },
      {
         ""game"": 2,
         ""role"": ""B"",
         ""decision"": ""Defect""
      },
      {
         ""game"": 3,
         ""role"": ""A"",
         ""decision"": ""Tit-for-Tat""
      },
      {
         ""game"": 4,
         ""role"": ""B"",
         ""decision"": ""Always Cooperate""
      },
      {
         ""game"": 5,
         ""role"": ""A"",
         ""decision"": ""Random""
      },
      {
         ""game"": 6,
         ""role"": ""B"",
         ""decision"": ""Grim Trigger""
      },
      {
         ""game"": 7,
         ""role"": ""A"",
         ""decision"": ""Always Defect""
      }
   ]
}",S123456,28,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': 'Defect'}, {'game': 3, 'role': 'A', 'decision': 'Tit-for-Tat'}, {'game': 4, 'role': 'B', 'decision': 'Always Cooperate'}, {'game': 5, 'role': 'A', 'decision': 'Random'}, {'game': 6, 'role': 'B', 'decision': 'Grim Trigger'}, {'game': 7, 'role': 'A', 'decision': 'Always Defect'}]"
25,"{
  ""subjectID"": ""01A23BCD45"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-05-10""
    },
    {
      ""organization"": ""Doctors Without Borders"",
      ""amount"": 30,
      ""date"": ""2023-01-15""
    }
  ],
  ""strategy"": [
    {
      ""game"": ""Ultimatum Game"",
      ""role"": ""A"",
      ""decision"": ""Offer 40%""
    },
    {
      ""game"": ""Dictator Game"",
      ""role"": ""A"",
      ""decision"": ""Give 30%""
    },
    {
      ""game"": ""Trust Game"",
      ""role"": ""B"",
      ""decision"": ""Return 50%""
    },
    {
      ""game"": ""Public Goods Game"",
      ""role"": ""A"",
      ""decision"": ""Contribute 25%""
    }
  ]
}",01A23BCD45,28,Female,2,"[{'game': 'Ultimatum Game', 'role': 'A', 'decision': 'Offer 40%'}, {'game': 'Dictator Game', 'role': 'A', 'decision': 'Give 30%'}, {'game': 'Trust Game', 'role': 'B', 'decision': 'Return 50%'}, {'game': 'Public Goods Game', 'role': 'A', 'decision': 'Contribute 25%'}]"
26,"{
  ""subjectID"": ""SUB123456"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""year"": 2021,
      ""amount"": 50,
      ""charity"": ""Red Cross""
    },
    {
      ""year"": 2022,
      ""amount"": 75,
      ""charity"": ""World Wildlife Fund""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""match""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""defect""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""retaliate""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""negotiate""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""reciprocate""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""random""
    }
  ]
}",SUB123456,29,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'cooperate'}, {'game': 2, 'role': 'B', 'decision': 'match'}, {'game': 3, 'role': 'A', 'decision': 'defect'}, {'game': 4, 'role': 'B', 'decision': 'retaliate'}, {'game': 5, 'role': 'A', 'decision': 'negotiate'}, {'game': 6, 'role': 'B', 'decision': 'reciprocate'}, {'game': 7, 'role': 'A', 'decision': 'random'}]"
27,"{
  ""subjectID"": ""S1234"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""amount"": 50,
      ""organization"": ""Red Cross"",
      ""date"": ""2023-09-15""
    },
    {
      ""amount"": 30,
      ""organization"": ""UNICEF"",
      ""date"": ""2023-10-01""
    }
  ],
  ""strategy"": [
    {
      ""game"": ""Game 1"",
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": ""Game 2"",
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": ""Game 3"",
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": ""Game 4"",
      ""role"": ""B"",
      ""decision"": ""Match partner's move""
    },
    {
      ""game"": ""Game 5"",
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": ""Game 6"",
      ""role"": ""B"",
      ""decision"": ""Defect""
    },
    {
      ""game"": ""Game 7"",
      ""role"": ""A"",
      ""decision"": ""Random""
    }
  ]
}",S1234,28,Female,2,"[{'game': 'Game 1', 'role': 'A', 'decision': 'Cooperate'}, {'game': 'Game 2', 'role': 'B', 'decision': 'Defect'}, {'game': 'Game 3', 'role': 'A', 'decision': 'Cooperate'}, {'game': 'Game 4', 'role': 'B', 'decision': ""Match partner's move""}, {'game': 'Game 5', 'role': 'A', 'decision': 'Cooperate'}, {'game': 'Game 6', 'role': 'B', 'decision': 'Defect'}, {'game': 'Game 7', 'role': 'A', 'decision': 'Random'}]"
28,"{
  ""subjectID"": ""S123456"",
  ""age"": 29,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2023-06-15""
    },
    {
      ""organization"": ""UNICEF"",
      ""amount"": 30,
      ""date"": ""2023-09-01""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""A"",
      ""decision"": ""defect""
    },
    {
      ""game"": 3,
      ""role"": ""B"",
      ""decision"": ""accept""
    },
    {
      ""game"": 4,
      ""role"": ""A"",
      ""decision"": ""split equally""
    },
    {
      ""game"": 5,
      ""role"": ""B"",
      ""decision"": ""match""
    },
    {
      ""game"": 6,
      ""role"": ""A"",
      ""decision"": ""invest""
    },
    {
      ""game"": 7,
      ""role"": ""B"",
      ""decision"": ""trust""
    }
  ]
}",S123456,29,female,2,"[{'game': 1, 'role': 'A', 'decision': 'cooperate'}, {'game': 2, 'role': 'A', 'decision': 'defect'}, {'game': 3, 'role': 'B', 'decision': 'accept'}, {'game': 4, 'role': 'A', 'decision': 'split equally'}, {'game': 5, 'role': 'B', 'decision': 'match'}, {'game': 6, 'role': 'A', 'decision': 'invest'}, {'game': 7, 'role': 'B', 'decision': 'trust'}]"
29,"{
  ""subjectID"": ""XJ7291AB"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""charities"": [
      {
        ""name"": ""Global Health"",
        ""amount"": 50
      },
      {
        ""name"": ""Animal Welfare"",
        ""amount"": 20
      }
    ],
    ""totalAmount"": 70
  },
  ""strategy"": {
    ""games"": [
      {
        ""gameID"": 1,
        ""roles"": {
          ""A"": ""Tit-for-Tat"",
          ""B"": ""Grim Trigger""
        }
      },
      {
        ""gameID"": 2,
        ""roles"": {
          ""A"": ""Randomized Response"",
          ""B"": ""Always Cooperate""
        }
      },
      {
        ""gameID"": 3,
        ""roles"": {
          ""A"": ""Conditional Cooperation"",
          ""B"": ""Always Defect""
        }
      },
      {
        ""gameID"": 4,
        ""roles"": {
          ""A"": ""Grim Trigger""
        }
      },
      {
        ""gameID"": 5,
        ""roles"": {
          ""B"": ""Tit-for-Tat""
        }
      },
      {
        ""gameID"": 6,
        ""roles"": {
          ""A"": ""Randomized Response"",
          ""B"": ""Grim Trigger""
        }
      },
      {
        ""gameID"": 7,
        ""roles"": {
          ""A"": ""Always Defect"",
          ""B"": ""Always Cooperate""
        }
      }
    ]
  }
}",XJ7291AB,29,Female,2,"{'games': [{'gameID': 1, 'roles': {'A': 'Tit-for-Tat', 'B': 'Grim Trigger'}}, {'gameID': 2, 'roles': {'A': 'Randomized Response', 'B': 'Always Cooperate'}}, {'gameID': 3, 'roles': {'A': 'Conditional Cooperation', 'B': 'Always Defect'}}, {'gameID': 4, 'roles': {'A': 'Grim Trigger'}}, {'gameID': 5, 'roles': {'B': 'Tit-for-Tat'}}, {'gameID': 6, 'roles': {'A': 'Randomized Response', 'B': 'Grim Trigger'}}, {'gameID': 7, 'roles': {'A': 'Always Defect', 'B': 'Always Cooperate'}}]}"
30,"{
  ""subjectID"": ""P12345"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""frequency"": ""bi-annually""
    },
    {
      ""organization"": ""World Wildlife Fund"",
      ""amount"": 30,
      ""frequency"": ""annually""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""match opponent's choice from previous round""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""defect""
    },
    {
      ""game"": 4,
      ""role"": ""A"",
      ""decision"": ""random choice""
    },
    {
      ""game"": 5,
      ""role"": ""B"",
      ""decision"": ""always cooperate""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""strategic mix""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""reciprocate if opponent cooperates, defect otherwise""
    }
  ]
}",P12345,28,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'cooperate'}, {'game': 2, 'role': 'B', 'decision': ""match opponent's choice from previous round""}, {'game': 3, 'role': 'A', 'decision': 'defect'}, {'game': 4, 'role': 'A', 'decision': 'random choice'}, {'game': 5, 'role': 'B', 'decision': 'always cooperate'}, {'game': 6, 'role': 'B', 'decision': 'strategic mix'}, {'game': 7, 'role': 'A', 'decision': 'reciprocate if opponent cooperates, defect otherwise'}]"
31,"{
  ""subjectID"": ""participant_12345"",
  ""age"": 29,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""charity"": ""Red Cross"",
      ""amount"": 50,
      ""frequency"": ""annual""
    },
    {
      ""charity"": ""World Wildlife Fund"",
      ""amount"": 30,
      ""frequency"": ""semi-annual""
    }
  ],
  ""strategy"": {
    ""game1"": ""tit-for-tat"",
    ""game2"": ""always cooperate"",
    ""game3"": ""random"",
    ""game4"": ""maximin"",
    ""game5"": ""altruistic"",
    ""game6"": ""tit-for-tat"",
    ""game7"": ""always defect""
  }
}",participant_12345,29,female,2,"{'game1': 'tit-for-tat', 'game2': 'always cooperate', 'game3': 'random', 'game4': 'maximin', 'game5': 'altruistic', 'game6': 'tit-for-tat', 'game7': 'always defect'}"
32,"{
  ""subjectID"": ""A29H4V6R"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""currency"": ""USD"",
      ""date"": ""2023-01-15""
    },
    {
      ""organization"": ""World Wildlife Fund"",
      ""amount"": 25,
      ""currency"": ""USD"",
      ""date"": ""2023-06-30""
    },
    {
      ""organization"": ""Doctors Without Borders"",
      ""amount"": 30,
      ""currency"": ""USD"",
      ""date"": ""2022-12-01""
    }
  ],
  ""strategy"": [
    {
      ""gameNumber"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate"",
      ""rationale"": ""Maximize collective payoff""
    },
    {
      ""gameNumber"": 2,
      ""role"": ""B"",
      ""decision"": ""reciprocate"",
      ""rationale"": ""Mirror the action of Partner A if favorable""
    },
    {
      ""gameNumber"": 3,
      ""role"": ""A"",
      ""decision"": ""compromise"",
      ""rationale"": ""Ensure both parties get a reasonable outcome""
    },
    {
      ""gameNumber"": 4,
      ""role"": ""B"",
      ""decision"": ""accept"",
      ""rationale"": ""Accept the offer if it’s fair""
    }
  ]
}",A29H4V6R,29,Female,2,"[{'gameNumber': 1, 'role': 'A', 'decision': 'cooperate', 'rationale': 'Maximize collective payoff'}, {'gameNumber': 2, 'role': 'B', 'decision': 'reciprocate', 'rationale': 'Mirror the action of Partner A if favorable'}, {'gameNumber': 3, 'role': 'A', 'decision': 'compromise', 'rationale': 'Ensure both parties get a reasonable outcome'}, {'gameNumber': 4, 'role': 'B', 'decision': 'accept', 'rationale': 'Accept the offer if it’s fair'}]"
33,"{
  ""subjectID"": ""SUB123456"",
  ""age"": 28,
  ""gender"": ""Non-binary"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""history"": [
      {
        ""date"": ""2022-05-15"",
        ""amount"": 50,
        ""charity"": ""Red Cross""
      },
      {
        ""date"": ""2023-01-30"",
        ""amount"": 75,
        ""charity"": ""Doctors Without Borders""
      }
    ]
  },
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""defect""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""compromise""
    },
    {
      ""gameID"": 4,
      ""role"": ""B"",
      ""decision"": ""match""
    },
    {
      ""gameID"": 5,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""gameID"": 6,
      ""role"": ""B"",
      ""decision"": ""random""
    },
    {
      ""gameID"": 7,
      ""role"": ""A"",
      ""decision"": ""maximizeOwn""
    }
  ]
}",SUB123456,28,Non-binary,2,"[{'gameID': 1, 'role': 'A', 'decision': 'cooperate'}, {'gameID': 2, 'role': 'B', 'decision': 'defect'}, {'gameID': 3, 'role': 'A', 'decision': 'compromise'}, {'gameID': 4, 'role': 'B', 'decision': 'match'}, {'gameID': 5, 'role': 'A', 'decision': 'cooperate'}, {'gameID': 6, 'role': 'B', 'decision': 'random'}, {'gameID': 7, 'role': 'A', 'decision': 'maximizeOwn'}]"
34,"{
  ""subjectID"": ""1234ABCD"",
  ""age"": 28,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {""amount"": 50, ""organization"": ""Red Cross""},
    {""amount"": 30, ""organization"": ""Doctors Without Borders""},
    {""amount"": 20, ""organization"": ""Local Food Bank""}
  ],
  ""strategy"": [
    {""game1"": {""role"": ""A"", ""decision"": ""cooperate""}},
    {""game2"": {""role"": ""B"", ""decision"": ""defect""}},
    {""game3"": {""role"": ""A"", ""decision"": ""tit-for-tat""}},
    {""game4"": {""role"": ""B"", ""decision"": ""cooperate""}},
    {""game5"": {""role"": ""A"", ""decision"": ""random""}},
    {""game6"": {""role"": ""B"", ""decision"": ""maximize personal gain""}},
    {""game7"": {""role"": ""A"", ""decision"": ""minimize loss""}}
  ]
}",1234ABCD,28,female,2,"[{'game1': {'role': 'A', 'decision': 'cooperate'}}, {'game2': {'role': 'B', 'decision': 'defect'}}, {'game3': {'role': 'A', 'decision': 'tit-for-tat'}}, {'game4': {'role': 'B', 'decision': 'cooperate'}}, {'game5': {'role': 'A', 'decision': 'random'}}, {'game6': {'role': 'B', 'decision': 'maximize personal gain'}}, {'game7': {'role': 'A', 'decision': 'minimize loss'}}]"
35,"{
  ""subjectID"": ""A12345"",
  ""age"": 28,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""2021"": 50,
    ""2022"": 75,
    ""2023"": 60
  },
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""defect""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""compromise""
    },
    {
      ""gameID"": 4,
      ""role"": ""B"",
      ""decision"": ""cooperate""
    },
    {
      ""gameID"": 5,
      ""role"": ""A"",
      ""decision"": ""optimize personal gain""
    },
    {
      ""gameID"": 6,
      ""role"": ""B"",
      ""decision"": ""match opponent's last move""
    },
    {
      ""gameID"": 7,
      ""role"": ""A"",
      ""decision"": ""random"" 
    }
  ]
}",A12345,28,female,2,"[{'gameID': 1, 'role': 'A', 'decision': 'cooperate'}, {'gameID': 2, 'role': 'B', 'decision': 'defect'}, {'gameID': 3, 'role': 'A', 'decision': 'compromise'}, {'gameID': 4, 'role': 'B', 'decision': 'cooperate'}, {'gameID': 5, 'role': 'A', 'decision': 'optimize personal gain'}, {'gameID': 6, 'role': 'B', 'decision': ""match opponent's last move""}, {'gameID': 7, 'role': 'A', 'decision': 'random'}]"
36,"{
  ""subjectID"": ""AB123456"",
  ""age"": 30,
  ""gender"": ""Non-binary"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""amount"": 50,
      ""organization"": ""Charity A"",
      ""date"": ""2022-05-01""
    },
    {
      ""amount"": 75,
      ""organization"": ""Charity B"",
      ""date"": ""2023-02-14""
    }
  ],
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""match""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""defect""
    },
    {
      ""gameID"": 4,
      ""role"": ""B"",
      ""decision"": ""ignore""
    },
    {
      ""gameID"": 5,
      ""role"": ""A"",
      ""decision"": ""cooperate""
    },
    {
      ""gameID"": 6,
      ""role"": ""B"",
      ""decision"": ""match""
    },
    {
      ""gameID"": 7,
      ""role"": ""A"",
      ""decision"": ""defect""
    }
  ]
}",AB123456,30,Non-binary,2,"[{'gameID': 1, 'role': 'A', 'decision': 'cooperate'}, {'gameID': 2, 'role': 'B', 'decision': 'match'}, {'gameID': 3, 'role': 'A', 'decision': 'defect'}, {'gameID': 4, 'role': 'B', 'decision': 'ignore'}, {'gameID': 5, 'role': 'A', 'decision': 'cooperate'}, {'gameID': 6, 'role': 'B', 'decision': 'match'}, {'gameID': 7, 'role': 'A', 'decision': 'defect'}]"
37,"{
    ""subjectID"": ""A12345"",
    ""age"": 28,
    ""gender"": ""Female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {""charity"": ""World Wildlife Fund"", ""amount"": 50, ""date"": ""2023-03-15""},
        {""charity"": ""Doctors Without Borders"", ""amount"": 75, ""date"": ""2023-05-10""},
        {""charity"": ""Red Cross"", ""amount"": 100, ""date"": ""2022-12-01""}
    ],
    ""strategy"": {
        ""Game1"": ""Tit-for-tat"",
        ""Game2"": ""Maximize own payoff"",
        ""Game3"": ""Altruistic"",
        ""Game4"": ""Randomize"",
        ""Game5"": ""Tit-for-tat"",
        ""Game6"": ""Cooperate if first, maximize payoff if second"",
        ""Game7"": ""Minimize other's loss""
    }
}",A12345,28,Female,2,"{'Game1': 'Tit-for-tat', 'Game2': 'Maximize own payoff', 'Game3': 'Altruistic', 'Game4': 'Randomize', 'Game5': 'Tit-for-tat', 'Game6': 'Cooperate if first, maximize payoff if second', 'Game7': ""Minimize other's loss""}"
38,"{
  ""subjectID"": ""S202310A1"",
  ""age"": 28,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""charity"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-06-15""
    },
    {
      ""charity"": ""Doctors Without Borders"",
      ""amount"": 75,
      ""date"": ""2023-01-20""
    }
  ],
  ""strategy"": [
    {
      ""gameID"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameID"": 2,
      ""role"": ""B"",
      ""decision"": ""Unsure""
    },
    {
      ""gameID"": 3,
      ""role"": ""A"",
      ""decision"": ""Defect""
    },
    {
      ""gameID"": 4,
      ""role"": ""B"",
      ""decision"": ""Cooperate""
    },
    {
      ""gameID"": 5,
      ""role"": ""A"",
      ""decision"": ""Balance""
    },
    {
      ""gameID"": 6,
      ""role"": ""B"",
      ""decision"": ""Unsure""
    },
    {
      ""gameID"": 7,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    }
  ]
}",S202310A1,28,Female,2,"[{'gameID': 1, 'role': 'A', 'decision': 'Cooperate'}, {'gameID': 2, 'role': 'B', 'decision': 'Unsure'}, {'gameID': 3, 'role': 'A', 'decision': 'Defect'}, {'gameID': 4, 'role': 'B', 'decision': 'Cooperate'}, {'gameID': 5, 'role': 'A', 'decision': 'Balance'}, {'gameID': 6, 'role': 'B', 'decision': 'Unsure'}, {'gameID': 7, 'role': 'A', 'decision': 'Cooperate'}]"
39,"{
    ""subjectID"": ""SUB123456"",
    ""age"": 29,
    ""gender"": ""Female"",
    ""numberSiblings"": 1,
    ""donation"": [
        {
            ""organization"": ""Red Cross"",
            ""amount"": 50,
            ""date"": ""2022-12-15""
        },
        {
            ""organization"": ""UNICEF"",
            ""amount"": 30,
            ""date"": ""2023-03-10""
        }
    ],
    ""strategy"": [
        {
            ""game"": ""Ultimatum Game"",
            ""role"": ""A"",
            ""strategy"": ""Offer 40% of the total amount""
        },
        {
            ""game"": ""Dictator Game"",
            ""role"": ""B"",
            ""strategy"": ""Accept any offer >= 20%""
        },
        {
            ""game"": ""Trust Game"",
            ""role"": ""A"",
            ""strategy"": ""Send 50% of the initial amount""
        },
        {
            ""game"": ""Public Goods Game"",
            ""role"": ""A"",
            ""strategy"": ""Contribute 30% of the endowment""
        }
    ]
}",SUB123456,29,Female,1,"[{'game': 'Ultimatum Game', 'role': 'A', 'strategy': 'Offer 40% of the total amount'}, {'game': 'Dictator Game', 'role': 'B', 'strategy': 'Accept any offer >= 20%'}, {'game': 'Trust Game', 'role': 'A', 'strategy': 'Send 50% of the initial amount'}, {'game': 'Public Goods Game', 'role': 'A', 'strategy': 'Contribute 30% of the endowment'}]"
